"Time (s) run 1","Angle, Ch P2 (rad) run 1","Time (s) Run #2","Angle, Ch P2 (rad) Run #2","Time (s) 1.11","Angle, Ch P2 (rad) 1.11","Time (s) Run #4","Angle, Ch P2 (rad) Run #4","Time (s) Run #5","Angle, Ch P2 (rad) Run #5","Time (s) Run #6","Angle, Ch P2 (rad) Run #6","Time (s) Run #7","Angle, Ch P2 (rad) Run #7","Time (s) Run #8","Angle, Ch P2 (rad) Run #8","Time (s) Run #9","Angle, Ch P2 (rad) Run #9","Time (s) Run #10","Angle, Ch P2 (rad) Run #10"
0.210,-0.0031415950,0.210,-0.0628319000,0.210,-0.0047123925,0.210,0.7225668500,0.210,0.6094694300,0.210,-0.1178098125,0.210,-0.3267258800,0.210,-0.2701771700,0.210,0.4115489450,0.210,-0.1775001175
0.220,-0.0141371775,0.220,-0.0518363175,0.220,-0.0157079750,0.220,0.7429872175,0.220,0.6251774050,0.220,-0.1115266225,0.220,-0.3424338550,0.220,-0.2780311575,0.220,0.4366817050,0.220,-0.1837833075
0.230,-0.0267035575,0.230,-0.0408407350,0.230,-0.0298451525,0.230,0.7634075850,0.230,0.6424561775,0.230,-0.1052434325,0.230,-0.3597126275,0.230,-0.2858851450,0.230,0.4618144650,0.230,-0.1916372950
0.240,-0.0392699375,0.240,-0.0282743550,0.240,-0.0424115325,0.240,0.7838279525,0.240,0.6565933550,0.240,-0.0973894450,0.240,-0.3769914000,0.240,-0.2937391325,0.240,0.4885180225,0.240,-0.1979204850
0.250,-0.0518363175,0.250,-0.0141371775,0.250,-0.0549779125,0.250,0.8058191175,0.250,0.6723013300,0.250,-0.0879646600,0.250,-0.3926993750,0.250,-0.3015931200,0.250,0.5152215800,0.250,-0.2057744725
0.260,-0.0659734950,0.260,1.3877787808E-17,0.260,-0.0691150900,0.260,0.8262394850,0.260,0.6864385075,0.260,-0.0801106725,0.260,-0.4099781475,0.260,-0.3078763100,0.260,0.5419251375,0.260,-0.2120576625
0.270,-0.0801106725,0.270,0.0141371775,0.270,-0.0832522675,0.270,0.8450890550,0.270,0.7005756850,0.270,-0.0691150900,0.270,-0.4272569200,0.270,-0.3141595000,0.270,0.5686286950,0.270,-0.2183408525
0.280,-0.0958186475,0.280,0.0298451525,0.280,-0.1005310400,0.280,0.8623678275,0.280,0.7131420650,0.280,-0.0596903050,0.280,-0.4445356925,0.280,-0.3204426900,0.280,0.5953322525,0.280,-0.2261948400
0.290,-0.1115266225,0.290,0.0471239250,0.290,-0.1178098125,0.290,0.8796466000,0.290,0.7241376475,0.290,-0.0486947225,0.290,-0.4618144650,0.290,-0.3267258800,0.290,0.6236066075,0.290,-0.2324780300
0.300,-0.1272345975,0.300,0.0628319000,0.300,-0.1335177875,0.300,0.8969253725,0.300,0.7351332300,0.300,-0.0361283425,0.300,-0.4775224400,0.300,-0.3330090700,0.300,0.6503101650,0.300,-0.2387612200
0.310,-0.1445133700,0.310,0.0816814700,0.310,-0.1507965600,0.310,0.9142041450,0.310,0.7461288125,0.310,-0.0235619625,0.310,-0.4948012125,0.310,-0.3392922600,0.310,0.6785845200,0.310,-0.2450444100
0.320,-0.1617921425,0.320,0.0989602425,0.320,-0.1680753325,0.320,0.9299121200,0.320,0.7555535975,0.320,-0.0109955825,0.320,-0.5105091875,0.320,-0.3440046525,0.320,0.7052880775,0.320,-0.2497568025
0.330,-0.1790709150,0.330,0.1193806100,0.330,-0.1853541050,0.330,0.9440492975,0.330,0.7634075850,0.330,0.0015707975,0.330,-0.5277879600,0.330,-0.3487170450,0.330,0.7335624325,0.330,-0.2560399925
0.340,-0.1963496875,0.340,0.1382301800,0.340,-0.2057744725,0.340,0.9566156775,0.340,0.7728323700,0.340,0.0157079750,0.340,-0.5434959350,0.340,-0.3534294375,0.340,0.7602659900,0.340,-0.2623231825
0.350,-0.2151992575,0.350,0.1586505475,0.350,-0.2246240425,0.350,0.9691820575,0.350,0.7791155600,0.350,0.0298451525,0.350,-0.5592039100,0.350,-0.3581418300,0.350,0.7885403450,0.350,-0.2686063725
0.360,-0.2340488275,0.360,0.1790709150,0.360,-0.2450444100,0.360,0.9817484375,0.360,0.7853987500,0.360,0.0455531275,0.360,-0.5749118850,0.360,-0.3612834250,0.360,0.8152439025,0.360,-0.2733187650
0.370,-0.2528983975,0.370,0.2010620800,0.370,-0.2654647775,0.370,0.9927440200,0.370,0.7901111425,0.370,0.0596903050,0.370,-0.5906198600,0.370,-0.3644250200,0.370,0.8435182575,0.370,-0.2780311575
0.380,-0.2717479675,0.380,0.2214824475,0.380,-0.2843143475,0.380,1.0037396025,0.380,0.7948235350,0.380,0.0753982800,0.380,-0.6063278350,0.380,-0.3675666150,0.380,0.8702218150,0.380,-0.2827435500
0.390,-0.2921683350,0.390,0.2434736125,0.390,-0.3047347150,0.390,1.0115935900,0.390,0.7979651300,0.390,0.0926770525,0.390,-0.6220358100,0.390,-0.3707082100,0.390,0.8969253725,0.390,-0.2874559425
0.400,-0.3125887025,0.400,0.2654647775,0.400,-0.3251550825,0.400,1.0194475775,0.400,0.8011067250,0.400,0.1083850275,0.400,-0.6361729875,0.400,-0.3722790075,0.400,0.9236289300,0.400,-0.2921683350
0.410,-0.3314382725,0.410,0.2890267400,0.410,-0.3471462475,0.410,1.0273015650,0.410,0.8026775225,0.410,0.1256638000,0.410,-0.6503101650,0.410,-0.3754206025,0.410,0.9487616900,0.410,-0.2968807275
0.420,-0.3518586400,0.420,0.3125887025,0.420,-0.3675666150,0.420,1.0335847550,0.420,0.8042483200,0.420,0.1429425725,0.420,-0.6644473425,0.420,-0.3769914000,0.420,0.9754652475,0.420,-0.3015931200
0.430,-0.3722790075,0.430,0.3361506650,0.430,-0.3895577800,0.430,1.0382971475,0.430,0.8042483200,0.430,0.1602213450,0.430,-0.6770137225,0.430,-0.3769914000,0.430,1.0005980075,0.430,-0.3047347150
0.440,-0.3942701725,0.440,0.3597126275,0.440,-0.4099781475,0.440,1.0430095400,0.440,0.8026775225,0.440,0.1790709150,0.440,-0.6911509000,0.440,-0.3785621975,0.440,1.0257307675,0.440,-0.3094471075
0.450,-0.4146905400,0.450,0.3832745900,0.450,-0.4303985150,0.450,1.0445803375,0.450,0.8011067250,0.450,0.1963496875,0.450,-0.7037172800,0.450,-0.3785621975,0.450,1.0492927300,0.450,-0.3125887025
0.460,-0.4351109075,0.460,0.4084073500,0.460,-0.4508188825,0.460,1.0477219325,0.460,0.7995359275,0.460,0.2151992575,0.460,-0.7162836600,0.460,-0.3785621975,0.460,1.0728546925,0.460,-0.3157302975
0.470,-0.4555312750,0.470,0.4319693125,0.470,-0.4696684525,0.470,1.0477219325,0.470,0.7948235350,0.470,0.2340488275,0.470,-0.7272792425,0.470,-0.3785621975,0.470,1.0964166550,0.470,-0.3173010950
0.480,-0.4759516425,0.480,0.4555312750,0.480,-0.4885180225,0.480,1.0477219325,0.480,0.7901111425,0.480,0.2528983975,0.480,-0.7382748250,0.480,-0.3769914000,0.480,1.1184078200,0.480,-0.3204426900
0.490,-0.4963720100,0.490,0.4806640350,0.490,-0.5073675925,0.490,1.0477219325,0.490,0.7853987500,0.490,0.2717479675,0.490,-0.7492704075,0.490,-0.3754206025,0.490,1.1403989850,0.490,-0.3220134875
0.500,-0.5183631750,0.500,0.5042259975,0.500,-0.5262171625,0.500,1.0445803375,0.500,0.7791155600,0.500,0.2905975375,0.500,-0.7602659900,0.500,-0.3738498050,0.500,1.1623901500,0.500,-0.3235842850
0.510,-0.5372127450,0.510,0.5293587575,0.510,-0.5450667325,0.510,1.0414387425,0.510,0.7728323700,0.510,0.3094471075,0.510,-0.7696907750,0.510,-0.3722790075,0.510,1.1828105175,0.510,-0.3267258800
0.520,-0.5576331125,0.520,0.5544915175,0.520,-0.5639163025,0.520,1.0382971475,0.520,0.7649783825,0.520,0.3298674750,0.520,-0.7775447625,0.520,-0.3691374125,0.520,1.2016600875,0.520,-0.3282966775
0.530,-0.5780534800,0.530,0.5780534800,0.530,-0.5827658725,0.530,1.0335847550,0.530,0.7555535975,0.530,0.3487170450,0.530,-0.7869695475,0.530,-0.3659958175,0.530,1.2205096575,0.530,-0.3282966775
0.540,-0.5984738475,0.540,0.6016154425,0.540,-0.6016154425,0.540,1.0273015650,0.540,0.7461288125,0.540,0.3675666150,0.540,-0.7948235350,0.540,-0.3628542225,0.540,1.2393592275,0.540,-0.3298674750
0.550,-0.6173234175,0.550,0.6267482025,0.550,-0.6220358100,0.550,1.0194475775,0.550,0.7351332300,0.550,0.3864161850,0.550,-0.8026775225,0.550,-0.3597126275,0.550,1.2566380000,0.550,-0.3298674750
0.560,-0.6377437850,0.560,0.6503101650,0.560,-0.6408853800,0.560,1.0115935900,0.560,0.7241376475,0.560,0.4068365525,0.560,-0.8089607125,0.560,-0.3550002350,0.560,1.2739167725,0.560,-0.3298674750
0.570,-0.6565933550,0.570,0.6723013300,0.570,-0.6597349500,0.570,1.0021688050,0.570,0.7131420650,0.570,0.4256861225,0.570,-0.8152439025,0.570,-0.3518586400,0.570,1.2896247475,0.570,-0.3298674750
0.580,-0.6754429250,0.580,0.6958632925,0.580,-0.6785845200,0.580,0.9927440200,0.580,0.7005756850,0.580,0.4445356925,0.580,-0.8199562950,0.580,-0.3471462475,0.580,1.3037619250,0.580,-0.3298674750
0.590,-0.6927216975,0.590,0.7194252550,0.590,-0.6958632925,0.590,0.9817484375,0.590,0.6864385075,0.590,0.4633852625,0.590,-0.8262394850,0.590,-0.3424338550,0.590,1.3178991025,0.590,-0.3298674750
