"Time (s) run 1","Angle, Ch P2 (rad) run 1","Time (s) Run #2","Angle, Ch P2 (rad) Run #2","Time (s) 1.11","Angle, Ch P2 (rad) 1.11","Time (s) Run #4","Angle, Ch P2 (rad) Run #4","Time (s) Run #5","Angle, Ch P2 (rad) Run #5","Time (s) Run #6","Angle, Ch P2 (rad) Run #6","Time (s) Run #7","Angle, Ch P2 (rad) Run #7","Time (s) Run #8","Angle, Ch P2 (rad) Run #8","Time (s) Run #9","Angle, Ch P2 (rad) Run #9","Time (s) Run #10","Angle, Ch P2 (rad) Run #10"
10.240,-0.8230978900,10.240,0.7586951925,10.240,-0.8026775225,10.240,1.0021688050,10.240,0.5811950750,10.240,0.6283190000,10.240,-0.8199562950,10.240,-0.1712169275,10.240,1.2472132150,10.240,-0.2340488275
10.250,-0.8372350675,10.250,0.7791155600,10.250,-0.8183854975,10.250,0.9943148175,10.250,0.5639163025,10.250,0.6424561775,10.250,-0.8152439025,10.250,-0.1617921425,10.250,1.2629211900,10.250,-0.2277656375
10.260,-0.8498014475,10.260,0.7995359275,10.260,-0.8325226750,10.260,0.9864608300,10.260,0.5450667325,10.260,0.6581641525,10.260,-0.8105315100,10.260,-0.1523673575,10.260,1.2786291650,10.260,-0.2214824475
10.270,-0.8607970300,10.270,0.8199562950,10.270,-0.8450890550,10.270,0.9770360450,10.270,0.5262171625,10.270,0.6707305325,10.270,-0.8042483200,10.270,-0.1429425725,10.270,1.2927663425,10.270,-0.2151992575
10.280,-0.8733634100,10.280,0.8403766625,10.280,-0.8576554350,10.280,0.9660404625,10.280,0.5073675925,10.280,0.6848677100,10.280,-0.7979651300,10.280,-0.1319469900,10.280,1.3053327225,10.280,-0.2073452700
10.290,-0.8827881950,10.290,0.8592262325,10.290,-0.8702218150,10.290,0.9550448800,10.290,0.4869472250,10.290,0.6974340900,10.290,-0.7901111425,10.290,-0.1225222050,10.290,1.3178991025,10.290,-0.2010620800
10.300,-0.8937837775,10.300,0.8780758025,10.300,-0.8812173975,10.300,0.9440492975,10.300,0.4680976550,10.300,0.7100004700,10.300,-0.7822571550,10.300,-0.1130974200,10.300,1.3288946850,10.300,-0.1947788900
10.310,-0.9032085625,10.310,0.8969253725,10.310,-0.8922129800,10.310,0.9314829175,10.310,0.4461064900,10.310,0.7209960525,10.310,-0.7744031675,10.310,-0.1021018375,10.310,1.3398902675,10.310,-0.1869249025
10.320,-0.9110625500,10.320,0.9142041450,10.320,-0.9016377650,10.320,0.9173457400,10.320,0.4256861225,10.320,0.7335624325,10.320,-0.7665491800,10.320,-0.0926770525,10.320,1.3493150525,10.320,-0.1806417125
10.330,-0.9189165375,10.330,0.9299121200,10.330,-0.9110625500,10.330,0.9016377650,10.330,0.4052657550,10.330,0.7429872175,10.330,-0.7571243950,10.330,-0.0832522675,10.330,1.3571690400,10.330,-0.1727877250
10.340,-0.9267705250,10.340,0.9471908925,10.340,-0.9204873350,10.340,0.8859297900,10.340,0.3832745900,10.340,0.7524120025,10.340,-0.7461288125,10.340,-0.0722566850,10.340,1.3650230275,10.340,-0.1665045350
10.350,-0.9330537150,10.350,0.9628988675,10.350,-0.9283413225,10.350,0.8702218150,10.350,0.3612834250,10.350,0.7618367875,10.350,-0.7367040275,10.350,-0.0628319000,10.350,1.3713062175,10.350,-0.1586505475
10.360,-0.9393369050,10.360,0.9770360450,10.360,-0.9361953100,10.360,0.8529430425,10.360,0.3392922600,10.360,0.7712615725,10.360,-0.7257084450,10.360,-0.0534071150,10.360,1.3775894075,10.360,-0.1507965600
10.370,-0.9440492975,10.370,0.9911732225,10.370,-0.9424785000,10.370,0.8372350675,10.370,0.3173010950,10.370,0.7791155600,10.370,-0.7147128625,10.370,-0.0439823300,10.370,1.3807310025,10.370,-0.1445133700
10.380,-0.9487616900,10.380,1.0037396025,10.380,-0.9471908925,10.380,0.8183854975,10.380,0.2953099300,10.380,0.7853987500,10.380,-0.7021464825,10.380,-0.0345575450,10.380,1.3854433950,10.380,-0.1366593825
10.390,-0.9519032850,10.390,1.0163059825,10.390,-0.9534740825,10.390,0.7979651300,10.390,0.2733187650,10.390,0.7932527375,10.390,-0.6895801025,10.390,-0.0267035575,10.390,1.3870141925,10.390,-0.1303761925
10.400,-0.9550448800,10.400,1.0288723625,10.400,-0.9566156775,10.400,0.7775447625,10.400,0.2497568025,10.400,0.7979651300,10.400,-0.6770137225,10.400,-0.0172787725,10.400,1.3885849900,10.400,-0.1225222050
10.410,-0.9566156775,10.410,1.0382971475,10.410,-0.9597572725,10.410,0.7555535975,10.410,0.2277656375,10.410,0.8042483200,10.410,-0.6644473425,10.410,-0.0078539875,10.410,1.3885849900,10.410,-0.1162390150
10.420,-0.9566156775,10.420,1.0492927300,10.420,-0.9628988675,10.420,0.7335624325,10.420,0.2057744725,10.420,0.8073899150,10.420,-0.6503101650,10.420,-7.2858385991E-17,10.420,1.3885849900,10.420,-0.1083850275
10.430,-0.9581864750,10.430,1.0571467175,10.430,-0.9644696650,10.430,0.7115712675,10.430,0.1837833075,10.430,0.8121023075,10.430,-0.6361729875,10.430,0.0094247850,10.430,1.3870141925,10.430,-0.1021018375
10.440,-0.9566156775,10.440,1.0665715025,10.440,-0.9660404625,10.440,0.6895801025,10.440,0.1602213450,10.440,0.8152439025,10.440,-0.6220358100,10.440,0.0172787725,10.440,1.3838725975,10.440,-0.0958186475
10.450,-0.9566156775,10.450,1.0728546925,10.450,-0.9660404625,10.450,0.6660181400,10.450,0.1382301800,10.450,0.8168147000,10.450,-0.6078986325,10.450,0.0251327600,10.450,1.3807310025,10.450,-0.0879646600
10.460,-0.9534740825,10.460,1.0791378825,10.460,-0.9660404625,10.460,0.6424561775,10.460,0.1162390150,10.460,0.8183854975,10.460,-0.5921906575,10.460,0.0329867475,10.460,1.3760186100,10.460,-0.0816814700
10.470,-0.9503324875,10.470,1.0854210725,10.470,-0.9644696650,10.470,0.6173234175,10.470,0.0942478500,10.470,0.8199562950,10.470,-0.5780534800,10.470,0.0408407350,10.470,1.3697354200,10.470,-0.0753982800
10.480,-0.9471908925,10.480,1.0901334650,10.480,-0.9613280700,10.480,0.5921906575,10.480,0.0722566850,10.480,0.8199562950,10.480,-0.5623455050,10.480,0.0471239250,10.480,1.3634522300,10.480,-0.0691150900
10.490,-0.9440492975,10.490,1.0932750600,10.490,-0.9581864750,10.490,0.5670578975,10.490,0.0502655200,10.490,0.8183854975,10.490,-0.5466375300,10.490,0.0549779125,10.490,1.3555982425,10.490,-0.0628319000
10.500,-0.9377661075,10.500,1.0964166550,10.500,-0.9550448800,10.500,0.5419251375,10.500,0.0298451525,10.500,0.8168147000,10.500,-0.5309295550,10.500,0.0612611025,10.500,1.3477442550,10.500,-0.0565487100
10.510,-0.9314829175,10.510,1.0979874525,10.510,-0.9503324875,10.510,0.5152215800,10.510,0.0094247850,10.510,0.8152439025,10.510,-0.5136507825,10.510,0.0675442925,10.510,1.3367486725,10.510,-0.0502655200
10.520,-0.9251997275,10.520,1.0995582500,10.520,-0.9456200950,10.520,0.4900888200,10.520,-0.0125663800,10.520,0.8121023075,10.520,-0.4979428075,10.520,0.0738274825,10.520,1.3273238875,10.520,-0.0439823300
10.530,-0.9189165375,10.530,1.0995582500,10.530,-0.9393369050,10.530,0.4649560600,10.530,-0.0329867475,10.530,0.8089607125,10.530,-0.4822348325,10.530,0.0801106725,10.530,1.3147575075,10.530,-0.0376991400
10.540,-0.9094917525,10.540,1.0995582500,10.540,-0.9314829175,10.540,0.4382525025,10.540,-0.0518363175,10.540,0.8042483200,10.540,-0.4649560600,10.540,0.0848230650,10.540,1.3021911275,10.540,-0.0329867475
10.550,-0.9016377650,10.550,1.0964166550,10.550,-0.9236289300,10.550,0.4131197425,10.550,-0.0706858875,10.550,0.7995359275,10.550,-0.4492480850,10.550,0.0895354575,10.550,1.2896247475,10.550,-0.0282743550
10.560,-0.8922129800,10.560,1.0948458575,10.560,-0.9157749425,10.560,0.3879869825,10.560,-0.0895354575,10.560,0.7932527375,10.560,-0.4319693125,10.560,0.0942478500,10.560,1.2754875700,10.560,-0.0219911650
10.570,-0.8812173975,10.570,1.0917042625,10.570,-0.9063501575,10.570,0.3612834250,10.570,-0.1083850275,10.570,0.7869695475,10.570,-0.4162613375,10.570,0.0989602425,10.570,1.2597795950,10.570,-0.0172787725
10.580,-0.8702218150,10.580,1.0869918700,10.580,-0.8969253725,10.580,0.3361506650,10.580,-0.1272345975,10.580,0.7791155600,10.580,-0.3989825650,10.580,0.1021018375,10.580,1.2440716200,10.580,-0.0125663800
10.590,-0.8592262325,10.590,1.0807086800,10.590,-0.8859297900,10.590,0.3110179050,10.590,-0.1445133700,10.590,0.7712615725,10.590,-0.3817037925,10.590,0.1068142300,10.590,1.2267928475,10.590,-0.0078539875
10.600,-0.8482306500,10.600,1.0744254900,10.600,-0.8749342075,10.600,0.2858851450,10.600,-0.1602213450,10.600,0.7634075850,10.600,-0.3659958175,10.600,0.1099558250,10.600,1.2095140750,10.600,-0.0047123925
10.610,-0.8356642700,10.610,1.0681423000,10.610,-0.8623678275,10.610,0.2607523850,10.610,-0.1759293200,10.610,0.7539828000,10.610,-0.3487170450,10.610,0.1130974200,10.610,1.1906645050,10.610,-6.0715321659E-18
10.620,-0.8199562950,10.620,1.0602883125,10.620,-0.8498014475,10.620,0.2356196250,10.620,-0.1916372950,10.620,0.7445580150,10.620,-0.3330090700,10.620,0.1146682175,10.620,1.1718149350,10.620,0.0031415950
10.630,-0.8058191175,10.630,1.0508635275,10.630,-0.8372350675,10.630,0.2104868650,10.630,-0.2073452700,10.630,0.7335624325,10.630,-0.3173010950,10.630,0.1178098125,10.630,1.1513945675,10.630,0.0078539875
10.640,-0.7916819400,10.640,1.0414387425,10.640,-0.8230978900,10.640,0.1869249025,10.640,-0.2214824475,10.640,0.7225668500,10.640,-0.3000223225,10.640,0.1193806100,10.640,1.1309742000,10.640,0.0109955825
10.650,-0.7775447625,10.650,1.0304431600,10.650,-0.8089607125,10.650,0.1617921425,10.650,-0.2356196250,10.650,0.7100004700,10.650,-0.2843143475,10.650,0.1209514075,10.650,1.1089830350,10.650,0.0141371775
10.660,-0.7618367875,10.660,1.0194475775,10.660,-0.7932527375,10.660,0.1382301800,10.660,-0.2481860050,10.660,0.6990048875,10.660,-0.2686063725,10.660,0.1209514075,10.660,1.0869918700,10.660,0.0157079750
10.670,-0.7445580150,10.670,1.0068811975,10.670,-0.7775447625,10.670,0.1146682175,10.670,-0.2591815875,10.670,0.6848677100,10.670,-0.2528983975,10.670,0.1209514075,10.670,1.0650007050,10.670,0.0188495700
10.680,-0.7272792425,10.680,0.9943148175,10.680,-0.7618367875,10.680,0.0926770525,10.680,-0.2717479675,10.680,0.6723013300,10.680,-0.2387612200,10.680,0.1225222050,10.680,1.0414387425,10.680,0.0219911650
10.690,-0.7115712675,10.690,0.9801776400,10.690,-0.7445580150,10.690,0.0691150900,10.690,-0.2811727525,10.690,0.6581641525,10.690,-0.2230532450,10.690,0.1209514075,10.690,1.0178767800,10.690,0.0235619625
10.700,-0.6942924950,10.700,0.9644696650,10.700,-0.7288500400,10.700,0.0471239250,10.700,-0.2921683350,10.700,0.6440269750,10.700,-0.2089160675,10.700,0.1209514075,10.700,0.9943148175,10.700,0.0251327600
10.710,-0.6770137225,10.710,0.9503324875,10.710,-0.7115712675,10.710,0.0251327600,10.710,-0.3015931200,10.710,0.6283190000,10.710,-0.1947788900,10.710,0.1209514075,10.710,0.9691820575,10.710,0.0267035575
10.720,-0.6581641525,10.720,0.9346245125,10.720,-0.6942924950,10.720,0.0031415950,10.720,-0.3094471075,10.720,0.6141818225,10.720,-0.1806417125,10.720,0.1193806100,10.720,0.9440492975,10.720,0.0267035575
10.730,-0.6393145825,10.730,0.9173457400,10.730,-0.6754429250,10.730,-0.0188495700,10.730,-0.3157302975,10.730,0.5984738475,10.730,-0.1665045350,10.730,0.1162390150,10.730,0.9189165375,10.730,0.0282743550
10.740,-0.6204650125,10.740,0.9000669675,10.740,-0.6581641525,10.740,-0.0392699375,10.740,-0.3235842850,10.740,0.5811950750,10.740,-0.1539381550,10.740,0.1146682175,10.740,0.8937837775,10.740,0.0282743550
10.750,-0.6016154425,10.750,0.8812173975,10.750,-0.6393145825,10.750,-0.0596903050,10.750,-0.3282966775,10.750,0.5654871000,10.750,-0.1413717750,10.750,0.1115266225,10.750,0.8670802200,10.750,0.0282743550
10.760,-0.5827658725,10.760,0.8639386250,10.760,-0.6204650125,10.760,-0.0785398750,10.760,-0.3345798675,10.760,0.5482083275,10.760,-0.1288053950,10.760,0.1083850275,10.760,0.8419474600,10.760,0.0282743550
10.770,-0.5639163025,10.770,0.8435182575,10.770,-0.6000446450,10.770,-0.0989602425,10.770,-0.3377214625,10.770,0.5309295550,10.770,-0.1162390150,10.770,0.1052434325,10.770,0.8152439025,10.770,0.0282743550
10.780,-0.5434959350,10.780,0.8246686875,10.780,-0.5811950750,10.780,-0.1162390150,10.780,-0.3408630575,10.780,0.5136507825,10.780,-0.1052434325,10.780,0.1021018375,10.780,0.7885403450,10.780,0.0282743550
10.790,-0.5230755675,10.790,0.8042483200,10.790,-0.5607747075,10.790,-0.1335177875,10.790,-0.3440046525,10.790,0.4963720100,10.790,-0.0942478500,10.790,0.0973894450,10.790,0.7602659900,10.790,0.0267035575
10.800,-0.5026552000,10.800,0.7838279525,10.800,-0.5403543400,10.800,-0.1507965600,10.800,-0.3455754500,10.800,0.4775224400,10.800,-0.0832522675,10.800,0.0926770525,10.800,0.7335624325,10.800,0.0267035575
10.810,-0.4822348325,10.810,0.7618367875,10.810,-0.5199339725,10.810,-0.1665045350,10.810,-0.3455754500,10.810,0.4602436675,10.810,-0.0738274825,10.810,0.0879646600,10.810,0.7068588750,10.810,0.0251327600
10.820,-0.4618144650,10.820,0.7414164200,10.820,-0.4995136050,10.820,-0.1806417125,10.820,-0.3455754500,10.820,0.4413940975,10.820,-0.0644026975,10.820,0.0832522675,10.820,0.6801553175,10.820,0.0235619625
10.830,-0.4429648950,10.830,0.7194252550,10.830,-0.4806640350,10.830,-0.1947788900,10.830,-0.3440046525,10.830,0.4225445275,10.830,-0.0565487100,10.830,0.0785398750,10.830,0.6534517600,10.830,0.0204203675
10.840,-0.4225445275,10.840,0.6958632925,10.840,-0.4602436675,10.840,-0.2089160675,10.840,-0.3424338550,10.840,0.4036949575,10.840,-0.0471239250,10.840,0.0722566850,10.840,0.6267482025,10.840,0.0188495700
10.850,-0.4021241600,10.850,0.6738721275,10.850,-0.4398233000,10.850,-0.2214824475,10.850,-0.3392922600,10.850,0.3848453875,10.850,-0.0392699375,10.850,0.0659734950,10.850,0.6000446450,10.850,0.0157079750
10.860,-0.3817037925,10.860,0.6503101650,10.860,-0.4194029325,10.860,-0.2324780300,10.860,-0.3361506650,10.860,0.3659958175,10.860,-0.0329867475,10.860,0.0596903050,10.860,0.5733410875,10.860,0.0141371775
10.870,-0.3612834250,10.870,0.6283190000,10.870,-0.3989825650,10.870,-0.2434736125,10.870,-0.3314382725,10.870,0.3471462475,10.870,-0.0267035575,10.870,0.0534071150,10.870,0.5482083275,10.870,0.0109955825
10.880,-0.3408630575,10.880,0.6047570375,10.880,-0.3785621975,10.880,-0.2528983975,10.880,-0.3267258800,10.880,0.3282966775,10.880,-0.0204203675,10.880,0.0455531275,10.880,0.5215047700,10.880,0.0062831900
10.890,-0.3220134875,10.890,0.5811950750,10.890,-0.3581418300,10.890,-0.2623231825,10.890,-0.3204426900,10.890,0.3094471075,10.890,-0.0157079750,10.890,0.0392699375,10.890,0.4963720100,10.890,0.0031415950
10.900,-0.3015931200,10.900,0.5576331125,10.900,-0.3377214625,10.900,-0.2701771700,10.900,-0.3125887025,10.900,0.2921683350,10.900,-0.0109955825,10.900,0.0314159500,10.900,0.4712392500,10.900,-5.2041704279E-18
10.910,-0.2827435500,10.910,0.5340711500,10.910,-0.3188718925,10.910,-0.2764603600,10.910,-0.3047347150,10.910,0.2733187650,10.910,-0.0078539875,10.910,0.0235619625,10.910,0.4461064900,10.910,-0.0047123925
10.920,-0.2638939800,10.920,0.5089383900,10.920,-0.3000223225,10.920,-0.2827435500,10.920,-0.2968807275,10.920,0.2544691950,10.920,-0.0031415950,10.920,0.0157079750,10.920,0.4209737300,10.920,-0.0094247850
10.930,-0.2450444100,10.930,0.4853764275,10.930,-0.2811727525,10.930,-0.2874559425,10.930,-0.2874559425,10.930,0.2356196250,10.930,-0.0015707975,10.930,0.0062831900,10.930,0.3974117675,10.930,-0.0141371775
10.940,-0.2261948400,10.940,0.4618144650,10.940,-0.2638939800,10.940,-0.2921683350,10.940,-0.2764603600,10.940,0.2167700550,10.940,0.0015707975,10.940,-0.0015707975,10.940,0.3738498050,10.940,-0.0188495700
10.950,-0.2089160675,10.950,0.4382525025,10.950,-0.2481860050,10.950,-0.2953099300,10.950,-0.2654647775,10.950,0.1994912825,10.950,0.0015707975,10.950,-0.0109955825,10.950,0.3502878425,10.950,-0.0235619625
10.960,-0.1900664975,10.960,0.4146905400,10.960,-0.2324780300,10.960,-0.2968807275,10.960,-0.2544691950,10.960,0.1822125100,10.960,0.0031415950,10.960,-0.0188495700,10.960,0.3282966775,10.960,-0.0282743550
10.970,-0.1727877250,10.970,0.3911285775,10.970,-0.2167700550,10.970,-0.2984515250,10.970,-0.2419028150,10.970,0.1633629400,10.970,0.0031415950,10.970,-0.0282743550,10.970,0.3063055125,10.970,-0.0329867475
10.980,-0.1555089525,10.980,0.3675666150,10.980,-0.2010620800,10.980,-0.2984515250,10.980,-0.2293364350,10.980,0.1460841675,10.980,0.0031415950,10.980,-0.0376991400,10.980,0.2843143475,10.980,-0.0392699375
10.990,-0.1398009775,10.990,0.3440046525,10.990,-0.1837833075,10.990,-0.2968807275,10.990,-0.2151992575,10.990,0.1303761925,10.990,0.0015707975,10.990,-0.0471239250,10.990,0.2638939800,10.990,-0.0455531275
11.000,-0.1240930025,11.000,0.3220134875,11.000,-0.1665045350,11.000,-0.2953099300,11.000,-0.2010620800,11.000,0.1130974200,11.000,-0.0015707975,11.000,-0.0565487100,11.000,0.2434736125,11.000,-0.0518363175
11.010,-0.1099558250,11.010,0.2984515250,11.010,-0.1492257625,11.010,-0.2921683350,11.010,-0.1853541050,11.010,0.0973894450,11.010,-0.0031415950,11.010,-0.0659734950,11.010,0.2246240425,11.010,-0.0565487100
11.020,-0.0942478500,11.020,0.2764603600,11.020,-0.1319469900,11.020,-0.2890267400,11.020,-0.1696461300,11.020,0.0816814700,11.020,-0.0062831900,11.020,-0.0753982800,11.020,0.2057744725,11.020,-0.0628319000
11.030,-0.0785398750,11.030,0.2544691950,11.030,-0.1162390150,11.030,-0.2843143475,11.030,-0.1523673575,11.030,0.0659734950,11.030,-0.0109955825,11.030,-0.0848230650,11.030,0.1884957000,11.030,-0.0691150900
11.040,-0.0644026975,11.040,0.2340488275,11.040,-0.1021018375,11.040,-0.2780311575,11.040,-0.1350885850,11.040,0.0502655200,11.040,-0.0141371775,11.040,-0.0958186475,11.040,0.1712169275,11.040,-0.0753982800
11.050,-0.0518363175,11.050,0.2120576625,11.050,-0.0879646600,11.050,-0.2717479675,11.050,-0.1178098125,11.050,0.0361283425,11.050,-0.0204203675,11.050,-0.1052434325,11.050,0.1555089525,11.050,-0.0832522675
11.060,-0.0392699375,11.060,0.1916372950,11.060,-0.0738274825,11.060,-0.2638939800,11.060,-0.1005310400,11.060,0.0219911650,11.060,-0.0251327600,11.060,-0.1146682175,11.060,0.1398009775,11.060,-0.0895354575
11.070,-0.0282743550,11.070,0.1712169275,11.070,-0.0596903050,11.070,-0.2560399925,11.070,-0.0816814700,11.070,0.0078539875,11.070,-0.0314159500,11.070,-0.1256638000,11.070,0.1256638000,11.070,-0.0958186475
11.080,-0.0172787725,11.080,0.1507965600,11.080,-0.0471239250,11.080,-0.2466152075,11.080,-0.0628319000,11.080,-0.0047123925,11.080,-0.0392699375,11.080,-0.1350885850,11.080,0.1115266225,11.080,-0.1036726350
11.090,-0.0062831900,11.090,0.1319469900,11.090,-0.0345575450,11.090,-0.2371904225,11.090,-0.0424115325,11.090,-0.0172787725,11.090,-0.0471239250,11.090,-0.1445133700,11.090,0.0989602425,11.090,-0.1099558250
11.100,0.0047123925,11.100,0.1130974200,11.100,-0.0235619625,11.100,-0.2261948400,11.100,-0.0235619625,11.100,-0.0282743550,11.100,-0.0549779125,11.100,-0.1539381550,11.100,0.0863938625,11.100,-0.1178098125
11.110,0.0141371775,11.110,0.0958186475,11.110,-0.0125663800,11.110,-0.2136284600,11.110,-0.0031415950,11.110,-0.0408407350,11.110,-0.0628319000,11.110,-0.1649337375,11.110,0.0769690775,11.110,-0.1240930025
11.120,0.0219911650,11.120,0.0785398750,11.120,-0.0031415950,11.120,-0.2010620800,11.120,0.0188495700,11.120,-0.0502655200,11.120,-0.0722566850,11.120,-0.1743585225,11.120,0.0659734950,11.120,-0.1319469900
11.130,0.0298451525,11.130,0.0612611025,11.130,0.0062831900,11.130,-0.1869249025,11.130,0.0392699375,11.130,-0.0612611025,11.130,-0.0816814700,11.130,-0.1837833075,11.130,0.0581195075,11.130,-0.1382301800
11.140,0.0361283425,11.140,0.0455531275,11.140,0.0157079750,11.140,-0.1727877250,11.140,0.0612611025,11.140,-0.0706858875,11.140,-0.0926770525,11.140,-0.1932080925,11.140,0.0486947225,11.140,-0.1445133700
11.150,0.0424115325,11.150,0.0298451525,11.150,0.0235619625,11.150,-0.1570797500,11.150,0.0816814700,11.150,-0.0801106725,11.150,-0.1036726350,11.150,-0.2026328775,11.150,0.0424115325,11.150,-0.1523673575
11.160,0.0471239250,11.160,0.0157079750,11.160,0.0314159500,11.160,-0.1413717750,11.160,0.1036726350,11.160,-0.0879646600,11.160,-0.1146682175,11.160,-0.2120576625,11.160,0.0361283425,11.160,-0.1602213450
11.170,0.0518363175,11.170,0.0015707975,11.170,0.0376991400,11.170,-0.1240930025,11.170,0.1256638000,11.170,-0.0958186475,11.170,-0.1272345975,11.170,-0.2214824475,11.170,0.0314159500,11.170,-0.1665045350
11.180,0.0565487100,11.180,-0.0109955825,11.180,0.0439823300,11.180,-0.1052434325,11.180,0.1476549650,11.180,-0.1021018375,11.180,-0.1398009775,11.180,-0.2309072325,11.180,0.0267035575,11.180,-0.1743585225
11.190,0.0612611025,11.190,-0.0235619625,11.190,0.0486947225,11.190,-0.0863938625,11.190,0.1712169275,11.190,-0.1083850275,11.190,-0.1523673575,11.190,-0.2403320175,11.190,0.0235619625,11.190,-0.1806417125
11.200,0.0628319000,11.200,-0.0361283425,11.200,0.0518363175,11.200,-0.0675442925,11.200,0.1932080925,11.200,-0.1130974200,11.200,-0.1649337375,11.200,-0.2481860050,11.200,0.0219911650,11.200,-0.1884957000
11.210,0.0644026975,11.210,-0.0455531275,11.210,0.0549779125,11.210,-0.0471239250,11.210,0.2151992575,11.210,-0.1178098125,11.210,-0.1790709150,11.210,-0.2576107900,11.210,0.0204203675,11.210,-0.1947788900
11.220,0.0644026975,11.220,-0.0565487100,11.220,0.0581195075,11.220,-0.0251327600,11.220,0.2371904225,11.220,-0.1225222050,11.220,-0.1916372950,11.220,-0.2654647775,11.220,0.0204203675,11.220,-0.2026328775
11.230,0.0644026975,11.230,-0.0659734950,11.230,0.0596903050,11.230,-0.0047123925,11.230,0.2607523850,11.230,-0.1256638000,11.230,-0.2057744725,11.230,-0.2733187650,11.230,0.0219911650,11.230,-0.2089160675
11.240,0.0644026975,11.240,-0.0738274825,11.240,0.0612611025,11.240,0.0188495700,11.240,0.2827435500,11.240,-0.1288053950,11.240,-0.2214824475,11.240,-0.2811727525,11.240,0.0235619625,11.240,-0.2151992575
11.250,0.0628319000,11.250,-0.0816814700,11.250,0.0596903050,11.250,0.0408407350,11.250,0.3047347150,11.250,-0.1303761925,11.250,-0.2356196250,11.250,-0.2890267400,11.250,0.0267035575,11.250,-0.2214824475
11.260,0.0612611025,11.260,-0.0879646600,11.260,0.0596903050,11.260,0.0644026975,11.260,0.3267258800,11.260,-0.1319469900,11.260,-0.2513276000,11.260,-0.2968807275,11.260,0.0314159500,11.260,-0.2293364350
11.270,0.0581195075,11.270,-0.0926770525,11.270,0.0581195075,11.270,0.0879646600,11.270,0.3487170450,11.270,-0.1319469900,11.270,-0.2670355750,11.270,-0.3031639175,11.270,0.0361283425,11.270,-0.2356196250
11.280,0.0534071150,11.280,-0.0973894450,11.280,0.0549779125,11.280,0.1130974200,11.280,0.3707082100,11.280,-0.1319469900,11.280,-0.2827435500,11.280,-0.3094471075,11.280,0.0424115325,11.280,-0.2419028150
11.290,0.0486947225,11.290,-0.1021018375,11.290,0.0534071150,11.290,0.1382301800,11.290,0.3926993750,11.290,-0.1303761925,11.290,-0.2984515250,11.290,-0.3173010950,11.290,0.0486947225,11.290,-0.2466152075
11.300,0.0439823300,11.300,-0.1052434325,11.300,0.0486947225,11.300,0.1633629400,11.300,0.4131197425,11.300,-0.1288053950,11.300,-0.3141595000,11.300,-0.3235842850,11.300,0.0565487100,11.300,-0.2528983975
11.310,0.0376991400,11.310,-0.1068142300,11.310,0.0439823300,11.310,0.1884957000,11.310,0.4351109075,11.310,-0.1256638000,11.310,-0.3298674750,11.310,-0.3282966775,11.310,0.0659734950,11.310,-0.2591815875
11.320,0.0298451525,11.320,-0.1083850275,11.320,0.0376991400,11.320,0.2136284600,11.320,0.4555312750,11.320,-0.1225222050,11.320,-0.3471462475,11.320,-0.3345798675,11.320,0.0753982800,11.320,-0.2638939800
11.330,0.0219911650,11.330,-0.1083850275,11.330,0.0314159500,11.330,0.2403320175,11.330,0.4759516425,11.330,-0.1193806100,11.330,-0.3628542225,11.330,-0.3392922600,11.330,0.0863938625,11.330,-0.2701771700
11.340,0.0141371775,11.340,-0.1083850275,11.340,0.0251327600,11.340,0.2670355750,11.340,0.4948012125,11.340,-0.1146682175,11.340,-0.3801329950,11.340,-0.3440046525,11.340,0.0973894450,11.340,-0.2748895625
11.350,0.0062831900,11.350,-0.1068142300,11.350,0.0172787725,11.350,0.2937391325,11.350,0.5152215800,11.350,-0.1099558250,11.350,-0.3958409700,11.350,-0.3487170450,11.350,0.1115266225,11.350,-0.2796019550
11.360,-0.0031415950,11.360,-0.1036726350,11.360,0.0078539875,11.360,0.3220134875,11.360,0.5340711500,11.360,-0.1036726350,11.360,-0.4131197425,11.360,-0.3534294375,11.360,0.1240930025,11.360,-0.2843143475
11.370,-0.0157079750,11.370,-0.1005310400,11.370,-0.0015707975,11.370,0.3487170450,11.370,0.5529207200,11.370,-0.0958186475,11.370,-0.4303985150,11.370,-0.3565710325,11.370,0.1382301800,11.370,-0.2890267400
11.380,-0.0267035575,11.380,-0.0958186475,11.380,-0.0125663800,11.380,0.3769914000,11.380,0.5701994925,11.380,-0.0895354575,11.380,-0.4461064900,11.380,-0.3612834250,11.380,0.1539381550,11.380,-0.2937391325
11.390,-0.0392699375,11.390,-0.0911062550,11.390,-0.0235619625,11.390,0.4036949575,11.390,0.5874782650,11.390,-0.0816814700,11.390,-0.4633852625,11.390,-0.3628542225,11.390,0.1696461300,11.390,-0.2968807275
11.400,-0.0502655200,11.400,-0.0848230650,11.400,-0.0345575450,11.400,0.4303985150,11.400,0.6047570375,11.400,-0.0722566850,11.400,-0.4790932375,11.400,-0.3659958175,11.400,0.1869249025,11.400,-0.3015931200
11.410,-0.0628319000,11.410,-0.0785398750,11.410,-0.0455531275,11.410,0.4555312750,11.410,0.6204650125,11.410,-0.0628319000,11.410,-0.4948012125,11.410,-0.3691374125,11.410,0.2042036750,11.410,-0.3047347150
