"Time (s) 0","Angle, Ch P1 (rad) 0","Time (s) 0.04","Angle, Ch P1 (rad) 0.04","Time (s) 0.06","Angle, Ch P1 (rad) 0.06","Time (s) 0.1","Angle, Ch P1 (rad) 0.1","Time (s) 0.15","Angle, Ch P1 (rad) 0.15","Time (s) 0.2","Angle, Ch P1 (rad) 0.2","Time (s) 0.25","Angle, Ch P1 (rad) 0.25","Time (s) 0.3","Angle, Ch P1 (rad) 0.3","Time (s) 0.35","Angle, Ch P1 (rad) 0.35","Time (s) 0.4","Angle, Ch P1 (rad) 0.4","Time (s) 0.44","Angle, Ch P1 (rad) 0.44","Time (s) 0.46","Angle, Ch P1 (rad) 0.46","Time (s) 0.47","Angle, Ch P1 (rad) 0.47","Time (s) 0.49","Angle, Ch P1 (rad) 0.49","Time (s) 0.52","Angle, Ch P1 (rad) 0.52","Time (s) 0.51","Angle, Ch P1 (rad) 0.51","Time (s) 0.5","Angle, Ch P1 (rad) 0.5"
1.810,0.1366593825,1.810,-0.1146682175,1.810,0.0816814700,1.810,0.1272345975,1.810,0.2230532450,1.810,-0.2827435500,1.810,0.1068142300,1.810,-0.2309072325,1.810,-0.1790709150,1.810,-0.2136284600,1.810,-0.0801106725,1.810,0.1869249025,1.810,0.0518363175,1.810,-0.0251327600,1.810,-0.0392699375,1.810,0.0785398750,1.810,-0.1665045350
1.820,0.1398009775,1.820,-0.1178098125,1.820,0.0863938625,1.820,0.1240930025,1.820,0.2199116500,1.820,-0.2843143475,1.820,0.1005310400,1.820,-0.2324780300,1.820,-0.1743585225,1.820,-0.2057744725,1.820,-0.0801106725,1.820,0.1775001175,1.820,0.0518363175,1.820,-0.0204203675,1.820,-0.0392699375,1.820,0.0769690775,1.820,-0.1602213450
1.830,0.1429425725,1.830,-0.1209514075,1.830,0.0911062550,1.830,0.1193806100,1.830,0.2167700550,1.830,-0.2858851450,1.830,0.0942478500,1.830,-0.2356196250,1.830,-0.1712169275,1.830,-0.1979204850,1.830,-0.0801106725,1.830,0.1696461300,1.830,0.0518363175,1.830,-0.0157079750,1.830,-0.0408407350,1.830,0.0738274825,1.830,-0.1523673575
1.840,0.1460841675,1.840,-0.1240930025,1.840,0.0973894450,1.840,0.1162390150,1.840,0.2120576625,1.840,-0.2874559425,1.840,0.0879646600,1.840,-0.2371904225,1.840,-0.1665045350,1.840,-0.1900664975,1.840,-0.0785398750,1.840,0.1602213450,1.840,0.0502655200,1.840,-0.0125663800,1.840,-0.0392699375,1.840,0.0722566850,1.840,-0.1460841675
1.850,0.1492257625,1.850,-0.1256638000,1.850,0.1021018375,1.850,0.1115266225,1.850,0.2089160675,1.850,-0.2874559425,1.850,0.0816814700,1.850,-0.2387612200,1.850,-0.1617921425,1.850,-0.1822125100,1.850,-0.0769690775,1.850,0.1507965600,1.850,0.0502655200,1.850,-0.0094247850,1.850,-0.0392699375,1.850,0.0691150900,1.850,-0.1382301800
1.860,0.1539381550,1.860,-0.1272345975,1.860,0.1068142300,1.860,0.1068142300,1.860,0.2042036750,1.860,-0.2890267400,1.860,0.0738274825,1.860,-0.2403320175,1.860,-0.1570797500,1.860,-0.1727877250,1.860,-0.0753982800,1.860,0.1413717750,1.860,0.0486947225,1.860,-0.0062831900,1.860,-0.0376991400,1.860,0.0644026975,1.860,-0.1288053950
1.870,0.1555089525,1.870,-0.1303761925,1.870,0.1115266225,1.870,0.1036726350,1.870,0.1994912825,1.870,-0.2874559425,1.870,0.0675442925,1.870,-0.2419028150,1.870,-0.1507965600,1.870,-0.1649337375,1.870,-0.0738274825,1.870,0.1319469900,1.870,0.0471239250,1.870,-0.0031415950,1.870,-0.0361283425,1.870,0.0596903050,1.870,-0.1193806100
1.880,0.1586505475,1.880,-0.1319469900,1.880,0.1178098125,1.880,0.0973894450,1.880,0.1932080925,1.880,-0.2874559425,1.880,0.0612611025,1.880,-0.2419028150,1.880,-0.1460841675,1.880,-0.1555089525,1.880,-0.0706858875,1.880,0.1225222050,1.880,0.0439823300,1.880,-0.0015707975,1.880,-0.0345575450,1.880,0.0549779125,1.880,-0.1099558250
1.890,0.1617921425,1.890,-0.1335177875,1.890,0.1225222050,1.890,0.0926770525,1.890,0.1884957000,1.890,-0.2874559425,1.890,0.0549779125,1.890,-0.2419028150,1.890,-0.1413717750,1.890,-0.1476549650,1.890,-0.0675442925,1.890,0.1115266225,1.890,0.0408407350,1.890,-1.1275702594E-17,1.890,-0.0314159500,1.890,0.0502655200,1.890,-0.0989602425
1.900,0.1633629400,1.900,-0.1366593825,1.900,0.1272345975,1.900,0.0879646600,1.900,0.1822125100,1.900,-0.2858851450,1.900,0.0471239250,1.900,-0.2419028150,1.900,-0.1350885850,1.900,-0.1382301800,1.900,-0.0644026975,1.900,0.1021018375,1.900,0.0392699375,1.900,0.0015707975,1.900,-0.0282743550,1.900,0.0455531275,1.900,-0.0879646600
1.910,0.1665045350,1.910,-0.1382301800,1.910,0.1335177875,1.910,0.0816814700,1.910,0.1759293200,1.910,-0.2843143475,1.910,0.0408407350,1.910,-0.2403320175,1.910,-0.1303761925,1.910,-0.1303761925,1.910,-0.0612611025,1.910,0.0911062550,1.910,0.0345575450,1.910,0.0015707975,1.910,-0.0251327600,1.910,0.0392699375,1.910,-0.0753982800
1.920,0.1680753325,1.920,-0.1398009775,1.920,0.1382301800,1.920,0.0753982800,1.920,0.1696461300,1.920,-0.2827435500,1.920,0.0329867475,1.920,-0.2403320175,1.920,-0.1240930025,1.920,-0.1209514075,1.920,-0.0565487100,1.920,0.0801106725,1.920,0.0314159500,1.920,0.0031415950,1.920,-0.0219911650,1.920,0.0329867475,1.920,-0.0644026975
1.930,0.1712169275,1.930,-0.1413717750,1.930,0.1429425725,1.930,0.0706858875,1.930,0.1617921425,1.930,-0.2796019550,1.930,0.0267035575,1.930,-0.2387612200,1.930,-0.1193806100,1.930,-0.1130974200,1.930,-0.0534071150,1.930,0.0706858875,1.930,0.0267035575,1.930,0.0031415950,1.930,-0.0172787725,1.930,0.0267035575,1.930,-0.0518363175
1.940,0.1727877250,1.940,-0.1413717750,1.940,0.1476549650,1.940,0.0644026975,1.940,0.1555089525,1.940,-0.2780311575,1.940,0.0204203675,1.940,-0.2356196250,1.940,-0.1130974200,1.940,-0.1036726350,1.940,-0.0486947225,1.940,0.0596903050,1.940,0.0235619625,1.940,0.0031415950,1.940,-0.0125663800,1.940,0.0188495700,1.940,-0.0392699375
1.950,0.1743585225,1.950,-0.1429425725,1.950,0.1539381550,1.950,0.0581195075,1.950,0.1476549650,1.950,-0.2748895625,1.950,0.0141371775,1.950,-0.2340488275,1.950,-0.1083850275,1.950,-0.0958186475,1.950,-0.0439823300,1.950,0.0502655200,1.950,0.0188495700,1.950,0.0015707975,1.950,-0.0078539875,1.950,0.0125663800,1.950,-0.0267035575
1.960,0.1759293200,1.960,-0.1445133700,1.960,0.1586505475,1.960,0.0518363175,1.960,0.1413717750,1.960,-0.2717479675,1.960,0.0062831900,1.960,-0.2309072325,1.960,-0.1021018375,1.960,-0.0879646600,1.960,-0.0392699375,1.960,0.0408407350,1.960,0.0141371775,1.960,-1.1275702594E-17,1.960,-0.0031415950,1.960,0.0047123925,1.960,-0.0141371775
1.970,0.1775001175,1.970,-0.1445133700,1.970,0.1633629400,1.970,0.0439823300,1.970,0.1335177875,1.970,-0.2686063725,1.970,2.6888213878E-17,1.970,-0.2293364350,1.970,-0.0958186475,1.970,-0.0785398750,1.970,-0.0329867475,1.970,0.0314159500,1.970,0.0078539875,1.970,-0.0015707975,1.970,0.0031415950,1.970,-0.0031415950,1.970,-1.5612511284E-17
1.980,0.1790709150,1.980,-0.1460841675,1.980,0.1680753325,1.980,0.0376991400,1.980,0.1256638000,1.980,-0.2654647775,1.980,-0.0062831900,1.980,-0.2246240425,1.980,-0.0911062550,1.980,-0.0706858875,1.980,-0.0282743550,1.980,0.0204203675,1.980,0.0031415950,1.980,-0.0047123925,1.980,0.0094247850,1.980,-0.0109955825,1.980,0.0141371775
1.990,0.1790709150,1.990,-0.1460841675,1.990,0.1727877250,1.990,0.0314159500,1.990,0.1178098125,1.990,-0.2623231825,1.990,-0.0125663800,1.990,-0.2214824475,1.990,-0.0848230650,1.990,-0.0644026975,1.990,-0.0219911650,1.990,0.0109955825,1.990,-0.0031415950,1.990,-0.0078539875,1.990,0.0157079750,1.990,-0.0188495700,1.990,0.0267035575
2.000,0.1806417125,2.000,-0.1460841675,2.000,0.1775001175,2.000,0.0235619625,2.000,0.1099558250,2.000,-0.2576107900,2.000,-0.0188495700,2.000,-0.2183408525,2.000,-0.0785398750,2.000,-0.0565487100,2.000,-0.0157079750,2.000,0.0031415950,2.000,-0.0094247850,2.000,-0.0109955825,2.000,0.0219911650,2.000,-0.0267035575,2.000,0.0408407350
2.010,0.1806417125,2.010,-0.1460841675,2.010,0.1822125100,2.010,0.0172787725,2.010,0.1021018375,2.010,-0.2544691950,2.010,-0.0235619625,2.010,-0.2136284600,2.010,-0.0738274825,2.010,-0.0502655200,2.010,-0.0094247850,2.010,-0.0062831900,2.010,-0.0157079750,2.010,-0.0141371775,2.010,0.0282743550,2.010,-0.0345575450,2.010,0.0534071150
2.020,0.1806417125,2.020,-0.1476549650,2.020,0.1869249025,2.020,0.0094247850,2.020,0.0942478500,2.020,-0.2497568025,2.020,-0.0298451525,2.020,-0.2089160675,2.020,-0.0675442925,2.020,-0.0424115325,2.020,-0.0031415950,2.020,-0.0157079750,2.020,-0.0219911650,2.020,-0.0172787725,2.020,0.0361283425,2.020,-0.0424115325,2.020,0.0659734950
2.030,0.1806417125,2.030,-0.1476549650,2.030,0.1900664975,2.030,0.0015707975,2.030,0.0848230650,2.030,-0.2450444100,2.030,-0.0345575450,2.030,-0.2042036750,2.030,-0.0628319000,2.030,-0.0361283425,2.030,0.0031415950,2.030,-0.0235619625,2.030,-0.0282743550,2.030,-0.0219911650,2.030,0.0424115325,2.030,-0.0518363175,2.030,0.0769690775
2.040,0.1806417125,2.040,-0.1476549650,2.040,0.1947788900,2.040,-0.0047123925,2.040,0.0769690775,2.040,-0.2403320175,2.040,-0.0408407350,2.040,-0.1994912825,2.040,-0.0581195075,2.040,-0.0298451525,2.040,0.0094247850,2.040,-0.0314159500,2.040,-0.0345575450,2.040,-0.0267035575,2.040,0.0486947225,2.040,-0.0596903050,2.040,0.0895354575
2.050,0.1806417125,2.050,-0.1460841675,2.050,0.1979204850,2.050,-0.0125663800,2.050,0.0691150900,2.050,-0.2340488275,2.050,-0.0455531275,2.050,-0.1932080925,2.050,-0.0518363175,2.050,-0.0235619625,2.050,0.0157079750,2.050,-0.0392699375,2.050,-0.0408407350,2.050,-0.0314159500,2.050,0.0565487100,2.050,-0.0691150900,2.050,0.1021018375
2.060,0.1806417125,2.060,-0.1460841675,2.060,0.2026328775,2.060,-0.0204203675,2.060,0.0596903050,2.060,-0.2293364350,2.060,-0.0502655200,2.060,-0.1869249025,2.060,-0.0471239250,2.060,-0.0172787725,2.060,0.0219911650,2.060,-0.0455531275,2.060,-0.0471239250,2.060,-0.0376991400,2.060,0.0644026975,2.060,-0.0769690775,2.060,0.1130974200
2.070,0.1806417125,2.070,-0.1460841675,2.070,0.2057744725,2.070,-0.0267035575,2.070,0.0518363175,2.070,-0.2230532450,2.070,-0.0549779125,2.070,-0.1822125100,2.070,-0.0424115325,2.070,-0.0125663800,2.070,0.0298451525,2.070,-0.0518363175,2.070,-0.0549779125,2.070,-0.0439823300,2.070,0.0722566850,2.070,-0.0848230650,2.070,0.1256638000
2.080,0.1790709150,2.080,-0.1445133700,2.080,0.2104868650,2.080,-0.0345575450,2.080,0.0439823300,2.080,-0.2183408525,2.080,-0.0596903050,2.080,-0.1759293200,2.080,-0.0376991400,2.080,-0.0078539875,2.080,0.0361283425,2.080,-0.0581195075,2.080,-0.0612611025,2.080,-0.0486947225,2.080,0.0785398750,2.080,-0.0926770525,2.080,0.1366593825
2.090,0.1790709150,2.090,-0.1445133700,2.090,0.2136284600,2.090,-0.0424115325,2.090,0.0345575450,2.090,-0.2120576625,2.090,-0.0644026975,2.090,-0.1696461300,2.090,-0.0329867475,2.090,-0.0047123925,2.090,0.0424115325,2.090,-0.0644026975,2.090,-0.0675442925,2.090,-0.0549779125,2.090,0.0863938625,2.090,-0.0989602425,2.090,0.1492257625
2.100,0.1775001175,2.100,-0.1429425725,2.100,0.2167700550,2.100,-0.0502655200,2.100,0.0267035575,2.100,-0.2057744725,2.100,-0.0675442925,2.100,-0.1633629400,2.100,-0.0298451525,2.100,-6.1582683397E-17,2.100,0.0486947225,2.100,-0.0691150900,2.100,-0.0738274825,2.100,-0.0612611025,2.100,0.0942478500,2.100,-0.1068142300,2.100,0.1602213450
2.110,0.1759293200,2.110,-0.1413717750,2.110,0.2199116500,2.110,-0.0565487100,2.110,0.0188495700,2.110,-0.1994912825,2.110,-0.0706858875,2.110,-0.1555089525,2.110,-0.0251327600,2.110,0.0031415950,2.110,0.0549779125,2.110,-0.0738274825,2.110,-0.0816814700,2.110,-0.0675442925,2.110,0.1021018375,2.110,-0.1130974200,2.110,0.1712169275
2.120,0.1743585225,2.120,-0.1398009775,2.120,0.2230532450,2.120,-0.0644026975,2.120,0.0109955825,2.120,-0.1932080925,2.120,-0.0738274825,2.120,-0.1492257625,2.120,-0.0219911650,2.120,0.0062831900,2.120,0.0612611025,2.120,-0.0769690775,2.120,-0.0879646600,2.120,-0.0738274825,2.120,0.1083850275,2.120,-0.1193806100,2.120,0.1806417125
2.130,0.1727877250,2.130,-0.1398009775,2.130,0.2246240425,2.130,-0.0706858875,2.130,0.0015707975,2.130,-0.1869249025,2.130,-0.0769690775,2.130,-0.1413717750,2.130,-0.0188495700,2.130,0.0094247850,2.130,0.0675442925,2.130,-0.0801106725,2.130,-0.0942478500,2.130,-0.0816814700,2.130,0.1162390150,2.130,-0.1256638000,2.130,0.1900664975
2.140,0.1712169275,2.140,-0.1382301800,2.140,0.2277656375,2.140,-0.0785398750,2.140,-0.0062831900,2.140,-0.1806417125,2.140,-0.0801106725,2.140,-0.1350885850,2.140,-0.0157079750,2.140,0.0109955825,2.140,0.0738274825,2.140,-0.0832522675,2.140,-0.1005310400,2.140,-0.0879646600,2.140,0.1225222050,2.140,-0.1335177875,2.140,0.1994912825
2.150,0.1696461300,2.150,-0.1366593825,2.150,0.2293364350,2.150,-0.0848230650,2.150,-0.0141371775,2.150,-0.1743585225,2.150,-0.0832522675,2.150,-0.1272345975,2.150,-0.0125663800,2.150,0.0125663800,2.150,0.0801106725,2.150,-0.0848230650,2.150,-0.1068142300,2.150,-0.0958186475,2.150,0.1303761925,2.150,-0.1398009775,2.150,0.2073452700
2.160,0.1665045350,2.160,-0.1335177875,2.160,0.2324780300,2.160,-0.0926770525,2.160,-0.0219911650,2.160,-0.1680753325,2.160,-0.0848230650,2.160,-0.1209514075,2.160,-0.0094247850,2.160,0.0125663800,2.160,0.0863938625,2.160,-0.0848230650,2.160,-0.1130974200,2.160,-0.1036726350,2.160,0.1366593825,2.160,-0.1460841675,2.160,0.2136284600
2.170,0.1649337375,2.170,-0.1319469900,2.170,0.2340488275,2.170,-0.0989602425,2.170,-0.0282743550,2.170,-0.1602213450,2.170,-0.0863938625,2.170,-0.1130974200,2.170,-0.0062831900,2.170,0.0125663800,2.170,0.0926770525,2.170,-0.0863938625,2.170,-0.1178098125,2.170,-0.1115266225,2.170,0.1429425725,2.170,-0.1523673575,2.170,0.2214824475
2.180,0.1617921425,2.180,-0.1303761925,2.180,0.2356196250,2.180,-0.1052434325,2.180,-0.0361283425,2.180,-0.1539381550,2.180,-0.0879646600,2.180,-0.1052434325,2.180,-0.0047123925,2.180,0.0125663800,2.180,0.0973894450,2.180,-0.0863938625,2.180,-0.1240930025,2.180,-0.1178098125,2.180,0.1492257625,2.180,-0.1570797500,2.180,0.2277656375
2.190,0.1602213450,2.190,-0.1272345975,2.190,0.2371904225,2.190,-0.1130974200,2.190,-0.0439823300,2.190,-0.1476549650,2.190,-0.0895354575,2.190,-0.0973894450,2.190,-0.0031415950,2.190,0.0125663800,2.190,0.1036726350,2.190,-0.0863938625,2.190,-0.1288053950,2.190,-0.1256638000,2.190,0.1555089525,2.190,-0.1633629400,2.190,0.2324780300
2.200,0.1570797500,2.200,-0.1256638000,2.200,0.2387612200,2.200,-0.1193806100,2.200,-0.0502655200,2.200,-0.1398009775,2.200,-0.0895354575,2.200,-0.0911062550,2.200,-0.0015707975,2.200,0.0109955825,2.200,0.1083850275,2.200,-0.0848230650,2.200,-0.1350885850,2.200,-0.1319469900,2.200,0.1602213450,2.200,-0.1680753325,2.200,0.2371904225
2.210,0.1539381550,2.210,-0.1225222050,2.210,0.2403320175,2.210,-0.1256638000,2.210,-0.0565487100,2.210,-0.1335177875,2.210,-0.0895354575,2.210,-0.0832522675,2.210,-7.3725747729E-18,2.210,0.0094247850,2.210,0.1130974200,2.210,-0.0832522675,2.210,-0.1398009775,2.210,-0.1398009775,2.210,0.1649337375,2.210,-0.1712169275,2.210,0.2403320175
2.220,0.1507965600,2.220,-0.1209514075,2.220,0.2403320175,2.220,-0.1303761925,2.220,-0.0628319000,2.220,-0.1272345975,2.220,-0.0895354575,2.220,-0.0753982800,2.220,-7.3725747729E-18,2.220,0.0078539875,2.220,0.1178098125,2.220,-0.0816814700,2.220,-0.1445133700,2.220,-0.1476549650,2.220,0.1712169275,2.220,-0.1743585225,2.220,0.2434736125
2.230,0.1476549650,2.230,-0.1178098125,2.230,0.2419028150,2.230,-0.1366593825,2.230,-0.0691150900,2.230,-0.1193806100,2.230,-0.0895354575,2.230,-0.0691150900,2.230,0.0015707975,2.230,0.0047123925,2.230,0.1209514075,2.230,-0.0785398750,2.230,-0.1476549650,2.230,-0.1539381550,2.230,0.1759293200,2.230,-0.1790709150,2.230,0.2450444100
2.240,0.1445133700,2.240,-0.1162390150,2.240,0.2419028150,2.240,-0.1429425725,2.240,-0.0753982800,2.240,-0.1130974200,2.240,-0.0895354575,2.240,-0.0612611025,2.240,0.0015707975,2.240,0.0015707975,2.240,0.1256638000,2.240,-0.0753982800,2.240,-0.1523673575,2.240,-0.1617921425,2.240,0.1806417125,2.240,-0.1806417125,2.240,0.2466152075
2.250,0.1398009775,2.250,-0.1130974200,2.250,0.2419028150,2.250,-0.1476549650,2.250,-0.0816814700,2.250,-0.1068142300,2.250,-0.0879646600,2.250,-0.0549779125,2.250,0.0015707975,2.250,-0.0015707975,2.250,0.1288053950,2.250,-0.0706858875,2.250,-0.1555089525,2.250,-0.1680753325,2.250,0.1837833075,2.250,-0.1837833075,2.250,0.2466152075
2.260,0.1366593825,2.260,-0.1099558250,2.260,0.2419028150,2.260,-0.1523673575,2.260,-0.0879646600,2.260,-0.0989602425,2.260,-0.0863938625,2.260,-0.0471239250,2.260,0.0015707975,2.260,-0.0047123925,2.260,0.1319469900,2.260,-0.0659734950,2.260,-0.1586505475,2.260,-0.1743585225,2.260,0.1884957000,2.260,-0.1853541050,2.260,0.2466152075
2.270,0.1319469900,2.270,-0.1068142300,2.270,0.2419028150,2.270,-0.1586505475,2.270,-0.0926770525,2.270,-0.0926770525,2.270,-0.0848230650,2.270,-0.0408407350,2.270,-7.3725747729E-18,2.270,-0.0094247850,2.270,0.1350885850,2.270,-0.0612611025,2.270,-0.1617921425,2.270,-0.1806417125,2.270,0.1916372950,2.270,-0.1869249025,2.270,0.2466152075
2.280,0.1288053950,2.280,-0.1036726350,2.280,0.2419028150,2.280,-0.1633629400,2.280,-0.0989602425,2.280,-0.0863938625,2.280,-0.0832522675,2.280,-0.0345575450,2.280,-7.3725747729E-18,2.280,-0.0141371775,2.280,0.1366593825,2.280,-0.0549779125,2.280,-0.1633629400,2.280,-0.1869249025,2.280,0.1947788900,2.280,-0.1884957000,2.280,0.2434736125
2.290,0.1256638000,2.290,-0.1005310400,2.290,0.2403320175,2.290,-0.1665045350,2.290,-0.1036726350,2.290,-0.0801106725,2.290,-0.0801106725,2.290,-0.0267035575,2.290,-0.0015707975,2.290,-0.0204203675,2.290,0.1382301800,2.290,-0.0486947225,2.290,-0.1649337375,2.290,-0.1916372950,2.290,0.1963496875,2.290,-0.1884957000,2.290,0.2403320175
2.300,0.1209514075,2.300,-0.0973894450,2.300,0.2403320175,2.300,-0.1712169275,2.300,-0.1083850275,2.300,-0.0738274825,2.300,-0.0785398750,2.300,-0.0204203675,2.300,-0.0031415950,2.300,-0.0251327600,2.300,0.1398009775,2.300,-0.0424115325,2.300,-0.1665045350,2.300,-0.1963496875,2.300,0.1979204850,2.300,-0.1869249025,2.300,0.2371904225
2.310,0.1162390150,2.310,-0.0942478500,2.310,0.2387612200,2.310,-0.1743585225,2.310,-0.1115266225,2.310,-0.0675442925,2.310,-0.0753982800,2.310,-0.0157079750,2.310,-0.0047123925,2.310,-0.0314159500,2.310,0.1413717750,2.310,-0.0361283425,2.310,-0.1680753325,2.310,-0.2010620800,2.310,0.1994912825,2.310,-0.1869249025,2.310,0.2324780300
2.320,0.1130974200,2.320,-0.0911062550,2.320,0.2371904225,2.320,-0.1775001175,2.320,-0.1162390150,2.320,-0.0612611025,2.320,-0.0722566850,2.320,-0.0094247850,2.320,-0.0078539875,2.320,-0.0376991400,2.320,0.1429425725,2.320,-0.0282743550,2.320,-0.1696461300,2.320,-0.2057744725,2.320,0.2010620800,2.320,-0.1853541050,2.320,0.2277656375
2.330,0.1083850275,2.330,-0.0879646600,2.330,0.2356196250,2.330,-0.1822125100,2.330,-0.1193806100,2.330,-0.0565487100,2.330,-0.0691150900,2.330,-0.0031415950,2.330,-0.0094247850,2.330,-0.0455531275,2.330,0.1429425725,2.330,-0.0204203675,2.330,-0.1696461300,2.330,-0.2089160675,2.330,0.2026328775,2.330,-0.1837833075,2.330,0.2214824475
2.340,0.1036726350,2.340,-0.0848230650,2.340,0.2340488275,2.340,-0.1853541050,2.340,-0.1225222050,2.340,-0.0502655200,2.340,-0.0644026975,2.340,0.0015707975,2.340,-0.0125663800,2.340,-0.0518363175,2.340,0.1429425725,2.340,-0.0109955825,2.340,-0.1696461300,2.340,-0.2136284600,2.340,0.2026328775,2.340,-0.1822125100,2.340,0.2151992575
2.350,0.1005310400,2.350,-0.0801106725,2.350,0.2324780300,2.350,-0.1869249025,2.350,-0.1256638000,2.350,-0.0455531275,2.350,-0.0612611025,2.350,0.0062831900,2.350,-0.0157079750,2.350,-0.0596903050,2.350,0.1429425725,2.350,-0.0031415950,2.350,-0.1696461300,2.350,-0.2167700550,2.350,0.2026328775,2.350,-0.1790709150,2.350,0.2073452700
2.360,0.0958186475,2.360,-0.0769690775,2.360,0.2309072325,2.360,-0.1900664975,2.360,-0.1272345975,2.360,-0.0408407350,2.360,-0.0565487100,2.360,0.0109955825,2.360,-0.0188495700,2.360,-0.0675442925,2.360,0.1413717750,2.360,0.0062831900,2.360,-0.1680753325,2.360,-0.2199116500,2.360,0.2010620800,2.360,-0.1759293200,2.360,0.1994912825
2.370,0.0911062550,2.370,-0.0738274825,2.370,0.2277656375,2.370,-0.1916372950,2.370,-0.1303761925,2.370,-0.0345575450,2.370,-0.0518363175,2.370,0.0157079750,2.370,-0.0219911650,2.370,-0.0753982800,2.370,0.1413717750,2.370,0.0157079750,2.370,-0.1665045350,2.370,-0.2230532450,2.370,0.1994912825,2.370,-0.1727877250,2.370,0.1916372950
2.380,0.0863938625,2.380,-0.0706858875,2.380,0.2246240425,2.380,-0.1947788900,2.380,-0.1319469900,2.380,-0.0314159500,2.380,-0.0471239250,2.380,0.0204203675,2.380,-0.0267035575,2.380,-0.0832522675,2.380,0.1398009775,2.380,0.0251327600,2.380,-0.1649337375,2.380,-0.2261948400,2.380,0.1979204850,2.380,-0.1680753325,2.380,0.1806417125
2.390,0.0816814700,2.390,-0.0675442925,2.390,0.2230532450,2.390,-0.1963496875,2.390,-0.1335177875,2.390,-0.0267035575,2.390,-0.0424115325,2.390,0.0235619625,2.390,-0.0298451525,2.390,-0.0911062550,2.390,0.1366593825,2.390,0.0345575450,2.390,-0.1633629400,2.390,-0.2293364350,2.390,0.1963496875,2.390,-0.1633629400,2.390,0.1712169275
2.400,0.0769690775,2.400,-0.0628319000,2.400,0.2199116500,2.400,-0.1963496875,2.400,-0.1350885850,2.400,-0.0219911650,2.400,-0.0361283425,2.400,0.0282743550,2.400,-0.0345575450,2.400,-0.1005310400,2.400,0.1350885850,2.400,0.0455531275,2.400,-0.1602213450,2.400,-0.2309072325,2.400,0.1932080925,2.400,-0.1586505475,2.400,0.1602213450
2.410,0.0722566850,2.410,-0.0596903050,2.410,0.2167700550,2.410,-0.1979204850,2.410,-0.1350885850,2.410,-0.0188495700,2.410,-0.0314159500,2.410,0.0314159500,2.410,-0.0392699375,2.410,-0.1083850275,2.410,0.1319469900,2.410,0.0549779125,2.410,-0.1586505475,2.410,-0.2309072325,2.410,0.1916372950,2.410,-0.1523673575,2.410,0.1492257625
2.420,0.0675442925,2.420,-0.0565487100,2.420,0.2136284600,2.420,-0.1979204850,2.420,-0.1350885850,2.420,-0.0141371775,2.420,-0.0251327600,2.420,0.0329867475,2.420,-0.0439823300,2.420,-0.1162390150,2.420,0.1288053950,2.420,0.0659734950,2.420,-0.1555089525,2.420,-0.2324780300,2.420,0.1884957000,2.420,-0.1476549650,2.420,0.1382301800
2.430,0.0612611025,2.430,-0.0534071150,2.430,0.2104868650,2.430,-0.1994912825,2.430,-0.1350885850,2.430,-0.0109955825,2.430,-0.0204203675,2.430,0.0361283425,2.430,-0.0486947225,2.430,-0.1256638000,2.430,0.1256638000,2.430,0.0753982800,2.430,-0.1507965600,2.430,-0.2324780300,2.430,0.1837833075,2.430,-0.1413717750,2.430,0.1272345975
2.440,0.0565487100,2.440,-0.0486947225,2.440,0.2073452700,2.440,-0.1994912825,2.440,-0.1350885850,2.440,-0.0094247850,2.440,-0.0141371775,2.440,0.0376991400,2.440,-0.0534071150,2.440,-0.1350885850,2.440,0.1225222050,2.440,0.0863938625,2.440,-0.1476549650,2.440,-0.2324780300,2.440,0.1790709150,2.440,-0.1350885850,2.440,0.1146682175
2.450,0.0518363175,2.450,-0.0455531275,2.450,0.2026328775,2.450,-0.1994912825,2.450,-0.1335177875,2.450,-0.0062831900,2.450,-0.0078539875,2.450,0.0392699375,2.450,-0.0581195075,2.450,-0.1429425725,2.450,0.1178098125,2.450,0.0958186475,2.450,-0.1429425725,2.450,-0.2324780300,2.450,0.1743585225,2.450,-0.1272345975,2.450,0.1021018375
2.460,0.0471239250,2.460,-0.0424115325,2.460,0.1994912825,2.460,-0.1979204850,2.460,-0.1319469900,2.460,-0.0047123925,2.460,-0.0015707975,2.460,0.0408407350,2.460,-0.0644026975,2.460,-0.1523673575,2.460,0.1130974200,2.460,0.1068142300,2.460,-0.1382301800,2.460,-0.2309072325,2.460,0.1696461300,2.460,-0.1193806100,2.460,0.0895354575
2.470,0.0424115325,2.470,-0.0392699375,2.470,0.1947788900,2.470,-0.1979204850,2.470,-0.1303761925,2.470,-0.0031415950,2.470,0.0047123925,2.470,0.0424115325,2.470,-0.0691150900,2.470,-0.1602213450,2.470,0.1083850275,2.470,0.1162390150,2.470,-0.1335177875,2.470,-0.2293364350,2.470,0.1649337375,2.470,-0.1130974200,2.470,0.0753982800
2.480,0.0376991400,2.480,-0.0361283425,2.480,0.1916372950,2.480,-0.1963496875,2.480,-0.1288053950,2.480,-0.0015707975,2.480,0.0125663800,2.480,0.0424115325,2.480,-0.0753982800,2.480,-0.1696461300,2.480,0.1036726350,2.480,0.1256638000,2.480,-0.1288053950,2.480,-0.2277656375,2.480,0.1586505475,2.480,-0.1052434325,2.480,0.0628319000
